타임스탬프,1. 귀하의 성별은 무엇입니까?,2. 반려동물을 키워본 경험이 있으신가요?,"2-1. 2번 질문에 '예'에 답한 경우, 세대 구성원의 수는 어떻게 되나요?",3. 반려동물을 키우면서 밥을 줄 때에 불편을 겪으신 적이 있나요?,"3-1. 3번 질문에 '예'에 답한 경우, 어떤 불편을 겪으셨나요?",4. 반려동물용 자동급식기를 사용해보신 적 있나요?,"4-1. 4번 질문에 '예'에 답한 경우, 사용하시면서 불편을 겪은 적이 있나요?","4-2. 4-1번 질문에 '예'에 답한 경우, 어떤 불편을 겪으셨나요?"
11-6-2022 0:49:51,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌, 비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌",예,예,"일반 식기에 비해 높낮이 설정이 자유롭지 않음, 부피가 커서 이동성이 좋지 않음"
11-6-2022 2:59:55,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌, 비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌",아니오,,
11-6-2022 8:30:10,여성,예,5인 이상,아니오,,아니오,,
11-6-2022 10:43:06,여성,예,5인 이상,예,비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌,예,예,"여러 마리의 반려동물을 기르는 경우, 다른 반려동물이 사료를 뺏어먹는 등의 문제가 있음"
11-6-2022 11:44:29,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌, 비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌",예,예,"설거지 하는 과정이 번거로움, 사료가 산화되는 등의 위생 문제로 사용하기 꺼려짐, 일반 식기에 비해 높낮이 설정이 자유롭지 않음"
11-6-2022 11:59:22,여성,예,4인,예,"반려동물에게 밥을 주는 것을 잊어버림, 반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌",아니오,,
11-6-2022 12:48:37,여성,예,5인 이상,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌",아니오,아니오,
2022. 11. 6 오후 9:24:48,여성,예,4인,예,비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌,아니오,,
,,47,명,,,,,
,구성원 수,4인,27.213,58%,,,,
,,5인 이상,12.361,26%,,,,
원형테이블로,,3인,4.935,11%,,,,
,,2인,1.316,3%,,,,
,,1인,1.034,2%,,,,
,,0.574468085,46.859,0.997,,,,
,,,,,,,,
,,,명수,퍼센트,,,,
,밥줄 때 불편함 느낀 사람,예,40,85.11%,,,,
,,,명수,퍼센트,,,,
,어떤 불편함?,시간,7,18%,반려동물이 시간에 맞춰 밥을 먹지 않음,,,
,,까먹,5,13%,반려동물에게 밥을 주는 것을 잊어버림,,,
,,중복,32,80%,"반려동물에게 이미 밥을 줬는데다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌",,,
,,비만,35,88%,비만/저체중 등 체중 조절을 해야하는 반려동물의 식단을 관리하는것에 어려움을 느낌,,,
,,0.85106383,85%,,,,,
,,,명수,,,,,
,자동급식기 사용해 본 사람,,13,27.66%,,,,
,,,,,,,,
,불편한 사람,,,100%,,,,
,,,,,,,,
,어떤 불편함?,설거지 하는 과정이 번거로움,5,38%,,,,
,,반려동물이 먹지 않음,0,0%,,,,
,,사료 산화등 위생 문제,8,62%,,,,
,,일반 식기 비해 높낮이 설정x,8,62%,,,,
,,여러마리 뺏어먹음,5,38%,,,,
,,부피 커서 이동x,5,38%,,,,
,,사료 다 먹었는데 인식x,0,0%,,,,
